boxscoreid,season,Player,playerid,home,fid,kr,kryds,krtd,pr,pryds,prtd
201809060224,2018,Justin Hardy,HARDJUS001,FALSE,2,,,,2,11,0
201809060224,2018,Darren Sproles,SPRODAR001,TRUE,24,,,,3,29,0
201809060224,2018,Tre Sullivan,SULLTRE001,TRUE,24,,,,1,0,0
201809060224,2018,Shelton Gibson,GIBSSHE001,TRUE,24,2,43,0,,,
201809092508,2018,Ryan Switzer,SWITRYA001,FALSE,25,3,69,0,5,56,0
201809092508,2018,Jabrill Peppers,PEPPJAB001,TRUE,8,1,24,0,1,15,0
201809092508,2018,Antonio Callaway,CALLANT001,TRUE,8,1,8,0,,,
201809092508,2018,T.J. Carrie,CARRTRA002,TRUE,8,1,14,0,,,
201809091319,2018,Tyler Ervin,ERVITYL001,FALSE,13,5,156,0,2,20,0
201809091319,2018,Riley McCarron,MCCARIL001,TRUE,19,,,,1,0,0
201809091319,2018,Cordarrelle Patterson,PATTCOR001,TRUE,19,1,19,0,,,
201809090714,2018,Alex Erickson,ERICALE001,FALSE,7,1,28,0,1,-1,0
201809090714,2018,Giovani Bernard,BERNGIO001,FALSE,7,1,14,0,,,
201809090714,2018,Chester Rogers,ROGECHE001,TRUE,14,,,,1,0,0
201809090714,2018,Zach Pascal,PASCZAC001,TRUE,14,2,54,0,,,
201809090403,2018,Jeremy Kerley,KERLJER001,FALSE,4,,,,2,10,0
201809090403,2018,Marcus Murphy,MURPMAR001,FALSE,4,5,165,0,1,9,0
201809090403,2018,Janarion Grant,GRANJAN001,TRUE,3,1,24,0,6,54,0
201809093020,2018,Adam Humphries,HUMPADA001,FALSE,30,1,4,0,2,17,0
201809093020,2018,DeSean Jackson,JACKDES001,FALSE,30,,,,1,2,0
201809093020,2018,Shaun Wilson,WILSSHA001,FALSE,30,1,29,0,,,
201809093020,2018,Tommylee Lewis,LEWITOM001,TRUE,20,3,69,0,1,0,0
201809092718,2018,Dante Pettis,PETTDAN001,FALSE,27,,,,2,14,0
201809092718,2018,Marcus Sherels,SHERMAR001,TRUE,18,,,,3,7,0
201809093117,2018,Adoree' Jackson,JACKADO001,FALSE,31,,,,1,26,0
201809093117,2018,Rishard Matthews,MATTRIS001,FALSE,31,,,,1,18,0
201809093117,2018,Darius Jennings,JENNDAR001,FALSE,31,2,121,1,,,
201809093117,2018,Jakeem Grant,GRANJAK001,TRUE,17,2,125,1,1,-1,0
201809093117,2018,Danny Amendola,AMENDAN001,TRUE,17,,,,1,2,0
201809091521,2018,Jaydon Mickens,MICKJAY001,FALSE,15,2,45,0,2,10,0
201809091521,2018,Kaelin Clay,CLAYKAE001,TRUE,21,,,,3,4,0
201809091521,2018,Cody Latimer,LATICOD001,TRUE,21,1,15,0,,,
201809091626,2018,Tyreek Hill,HILLTYR001,FALSE,16,,,,2,95,1
201809091626,2018,De'Anthony Thomas,THOMDEA001,FALSE,16,2,33,0,,,
201809091626,2018,JJ Jones,JONEJJA003,TRUE,26,2,36,0,1,-4,0
201809091626,2018,Travis Benjamin,BENJTRA001,TRUE,26,,,,1,-1,0
201809092810,2018,Tyler Lockett,LOCKTYL001,FALSE,28,2,39,0,3,11,0
201809092810,2018,Adam Jones,JONEADA001,TRUE,10,,,,2,9,0
201809090905,2018,Tavon Austin,AUSTTAV001,FALSE,9,,,,2,13,0
201809090905,2018,Damiere Byrd,BYRDDAM001,TRUE,5,,,,3,47,0
201809090905,2018,D.J. Moore,MOORDJA002,TRUE,5,,,,1,15,0
201809093201,2018,Trey Quinn,QUINTRE001,FALSE,32,,,,2,12,0
201809093201,2018,Danny Johnson,JOHNDAN003,FALSE,32,1,24,0,,,
201809093201,2018,Chris Thompson,THOMCHR002,FALSE,32,1,0,0,,,
201809093201,2018,Christian Kirk,KIRKCHR002,TRUE,1,,,,2,44,0
201809090612,2018,Tarik Cohen,COHETAR001,FALSE,6,,,,2,45,0
201809090612,2018,Benny Cunningham,CUNNBEN002,FALSE,6,1,18,0,,,
201809090612,2018,Randall Cobb,COBBRAN001,TRUE,12,,,,1,17,0
201809090612,2018,Ty Montgomery,MONTTYA001,TRUE,12,2,47,0,,,
201809090612,2018,Marquez Valdes-Scantling,VALDMAR001,TRUE,12,1,21,0,,,
201809102211,2018,Andre Roberts,ROBEAND001,FALSE,22,2,45,0,3,137,1
201809102923,2018,Pharoh Cooper,COOPPHA001,FALSE,29,3,75,0,2,12,0
201809102923,2018,Dwayne Harris,HARRDWA001,TRUE,23,,,,1,10,0
201809130307,2018,Janarion Grant,GRANJAN001,FALSE,3,1,32,0,1,-2,0
201809130307,2018,Darius Phillips,PHILDAR002,TRUE,7,,,,2,24,0
201809130307,2018,Alex Erickson,ERICALE001,TRUE,7,2,45,0,,,
201809130307,2018,Giovani Bernard,BERNGIO001,TRUE,7,1,11,0,,,
201809161722,2018,Jakeem Grant,GRANJAK001,FALSE,17,1,34,0,3,48,0
201809161722,2018,Andre Roberts,ROBEAND001,TRUE,22,,,,1,4,0
201809160820,2018,Jabrill Peppers,PEPPJAB001,FALSE,8,3,82,0,1,0,0
201809160820,2018,Tommylee Lewis,LEWITOM001,TRUE,20,,,,1,0,0
201809160820,2018,Taysom Hill,HILLTAY001,TRUE,20,1,47,0,,,
201809161331,2018,Tyler Ervin,ERVITYL001,FALSE,13,,,,4,25,0
201809161331,2018,Adoree' Jackson,JACKADO001,TRUE,31,,,,1,2,0
201809161432,2018,Zach Pascal,PASCZAC001,FALSE,14,1,19,0,,,
201809161432,2018,Greg Stroman,STROGRE001,TRUE,32,1,16,0,1,6,0
201809162604,2018,JJ Jones,JONEJJA003,FALSE,26,,,,3,17,0
