fid,franchise,team,league,from,to,playoffs,div_champ,conference_champ,league_champ,sb_champ
1,Arizona Cardinals,Chicago Cardinals,APFA,1920,1921,,,,,
1,Arizona Cardinals,Chicago Cardinals,NFL,1922,1943,,,,1,
1,Arizona Cardinals,Card-Pitt,NFL,1944,1944,,,,,
1,Arizona Cardinals,Chicago Cardinals,NFL,1945,1959,2,2,,1,
1,Arizona Cardinals,St. Louis Cardinals,NFL,1960,1987,3,2,,,
1,Arizona Cardinals,Phoenix Cardinals,NFL,1988,1993,,,,,
1,Arizona Cardinals,Arizona Cardinals,NFL,1994,2018,5,3,1,,
2,Atlanta Falcons,Atlanta Falcons,NFL,1966,2018,14,6,2,,
3,Baltimore Ravens,Baltimore Ravens,NFL,1996,2018,11,5,2,2,2
4,Buffalo Bills,Buffalo Bills,AFL,1960,1969,4,3,,2,
4,Buffalo Bills,Buffalo Bills,NFL,1970,2018,14,7,4,,
5,Carolina Panthers,Carolina Panthers,NFL,1995,2018,8,6,2,,
6,Chicago Bears,Decatur Staleys,APFA ,1920,1920,,,,,
6,Chicago Bears,Chicago Staleys,APFA,1921,1921,,,,1,
6,Chicago Bears,Chicago Bears,NFL ,1922,2018,26,21,4,8,1
7,Cincinnati Bengals,Cincinnati Bengals,AFL,1968,1969,,,,,
7,Cincinnati Bengals,Cincinnati Bengals,NFL,1970,2018,14,9,2,,
8,Cleveland Browns,Cleveland Browns,NFL,1950,1995,23,9,11,4,
8,Cleveland Browns,Cleveland Browns,NFL,1999,2018,1,,,,
9,Dallas Cowboys,Dallas Cowboys,NFL,1960,2018,33,23,10,5,5
10,Denver Broncos,Denver Broncos,AFL,1960,1969,,,,,
10,Denver Broncos,Denver Broncos,NFL,1970,2018,22,15,8,3,3
11,Detroit Lions,Portsmouth Spartans,NFL,1930,1933,1,,,,
11,Detroit Lions,Detroit Lions,NFL,1934,2018,17,4,4,4,
12,Green Bay Packers,Green Bay Packers,APFA ,1921,1921,,,,,
12,Green Bay Packers,Green Bay Packers,NFL ,1922,2018,32,18,9,13,4
13,Houston Texans,Houston Texans,NFL,2002,2018,5,5,,,
14,Indianapolis Colts,Baltimore Colts,NFL ,1953,1983,10,5,5,3,1
14,Indianapolis Colts,Indianapolis Colts,NFL ,1984,2018,18,11,2,1,1
15,Jacksonville Jaguars,Jacksonville Jaguars,NFL,1995,2018,7,3,,,
16,Kansas City Chiefs,Dallas Texans,AFL ,1960,1962,1,1,,1,
16,Kansas City Chiefs,Kansas City Chiefs,AFL ,1963,1969,3,1,,1,1
16,Kansas City Chiefs,Kansas City Chiefs,NFL,1970,2018,17,9,,,
17,Miami Dolphins,Miami Dolphins,AFL,1966,1969,,,,,
17,Miami Dolphins,Miami Dolphins,NFL,1970,2018,23,13,5,2,2
18,Minnesota Vikings,Minnesota Vikings,NFL,1961,2018,29,20,4,0,0
19,New England Patriots,New England Patriots,NFL,1971,2018,25,19,11,6,6
19,New England Patriots,Boston Patriots,AFL,1960,1969,1,1,,,
19,New England Patriots,Boston Patriots,NFL,1970,1970,,,,,
20,New Orleans Saints,New Orleans Saints,NFL,1967,2018,12,7,1,1,1
21,New York Giants,New York Giants,NFL,1925,2018,32,16,11,8,4
22,New York Jets,New York Titans,AFL,1960,1962,,,,,
22,New York Jets,New York Jets,AFL,1963,1969,2,2,,1,1
22,New York Jets,New York Jets,NFL,1970,2018,12,2,,,
23,Oakland Raiders,Oakland Raiders,AFL,1960,1969,3,3,,1,
23,Oakland Raiders,Oakland Raiders,NFL,1970,1981,8,6,2,2,2
23,Oakland Raiders,Los Angeles Raiders,NFL,1982,1994,7,3,1,1,1
23,Oakland Raiders,Oakland Raiders,NFL,1995,2018,4,3,1,,
24,Philadelphia Eagles,Philadelphia Eagles,NFL,1933,1942,,,,,
24,Philadelphia Eagles,Phil-Pitt,NFL,1943,1943,,,,,
24,Philadelphia Eagles,Philadelphia Eagles,NFL,1944,2018,26,13,4,4,1
25,Pittsburgh Steelers,Pittsburgh Pirates,NFL,1933,1939,,,,,
25,Pittsburgh Steelers,Pittsburgh Steelers,NFL,1940,1942,,,,,
25,Pittsburgh Steelers,Phil-Pitt,NFL,1943,1943,,,,,
25,Pittsburgh Steelers,Card-Pitt,NFL,1944,1944,,,,,
25,Pittsburgh Steelers,Pittsburgh Steelers,NFL,1945,2018,31,23,8,6,6
26,Los Angeles Chargers,Los Angeles Chargers,AFL,1960,1960,1,1,,,
26,Los Angeles Chargers,San Diego Chargers,AFL,1961,1969,4,4,,1,
26,Los Angeles Chargers,San Diego Chargers,NFL,1970,2016,13,10,1,,
26,Los Angeles Chargers,Los Angeles Chargers,NFL,2017,2018,1,,,,
27,San Francisco 49ers,San Francisco 49ers,NFL,1950,2018,25,19,6,5,5
28,Seattle Seahawks,Seattle Seahawks,NFL ,1976,2018,17,10,3,1,1
29,Los Angeles Rams,Cleveland Rams,NFL,1937,1942,,,,,
29,Los Angeles Rams,Cleveland Rams,NFL,1944,1945,1,1,,1,
29,Los Angeles Rams,Los Angeles Rams,NFL,1946,1994,21,11,4,1,
29,Los Angeles Rams,St. Louis Rams,NFL,1995,2015,5,3,2,1,1
29,Los Angeles Rams,Los Angeles Rams,NFL,2016,2018,2,2,1,,
30,Tampa Bay Buccaneers,Tampa Bay Buccaneers,NFL,1976,2018,10,6,1,1,1
31,Tennessee Titans,Houston Oilers,AFL,1960,1969,5,4,,2,
31,Tennessee Titans,Houston Oilers,NFL,1970,1996,10,2,,,
31,Tennessee Titans,Tennessee Oilers,NFL,1997,1998,,,,,
31,Tennessee Titans,Tennessee Titans,NFL,1999,2018,7,3,1,,
32,Washington Redskins,Boston Braves,NFL,1932,1932,,,,,
32,Washington Redskins,Boston Redskins,NFL,1933,1936,1,1,,,
32,Washington Redskins,Washington Redskins,NFL,1937,2018,24,14,5,5,3
33,Akron Indians,Akron Pros,APFA,1920,1921,,,,1,
33,Akron Indians,Akron Pros,NFL,1922,1925,,,,,
33,Akron Indians,Akron Indians,NFL,1926,1926,,,,,
34,Baltimore Colts,Baltimore Colts,NFL,1950,1950,,,,,
35,Boston Bulldogs,Pottsville Maroons,NFL,1925,1928,,,,,
35,Boston Bulldogs,Boston Bulldogs,NFL,1929,1929,,,,,
36,Boston Yanks,Boston Yanks,NFL,1944,1944,,,,,
36,Boston Yanks,The Yanks,NFL,1945,1945,,,,,
36,Boston Yanks,Boston Yanks,NFL,1946,1948,,,,,
38,Brooklyn Lions,Brooklyn Lions,NFL,1926,1926,,,,,
39,Brooklyn Tigers,Brooklyn Dodgers,NFL,1930,1943,,,,,
39,Brooklyn Tigers,Brooklyn Tigers,NFL,1944,1944,,,,,
41,Buffalo Bisons,Buffalo All-Americans,APFA,1920,1921,,,,,
