fid,season,playerid,g,int,iyds,itd,ts,ta,tt,tfl,sk,pd,fum,fr,fryds,ftd,ff,sft
1,1940,MCCUHUG001,11,5,68,0,,,,,,,,,,,,
1,1940,CLARBER002,9,2,58,0,,,,,,,,,,,,
1,1940,JOHNBER001,10,2,49,0,,,,,,,,,,,,
1,1940,PARKBUD001,10,2,20,0,,,,,,,,,,,,
1,1940,GOLDMAR001,11,2,15,0,,,,,,,,,,,,
1,1940,TINSGAY001,7,2,10,0,,,,,,,,,,,,
1,1940,KUHAJOE001,11,2,9,0,,,,,,,,,,,,
1,1940,HALLJOH003,11,1,50,1,,,,,,,,,,,,
1,1940,SCHNHER001,6,1,48,0,,,,,,,,,,,,
1,1940,ALDRKIA001,11,1,34,0,,,,,,,,,,,,
1,1940,ZONTLOU001,8,1,20,0,,,,,,,,,,,,
1,1940,SHIRJOH001,11,1,8,0,,,,,,,,,,,,
1,1940,THOMJIM001,8,1,0,0,,,,,,,,,,,,
1,1941,GOLDMAR001,11,7,54,0,,,,,,,,,,,,
1,1941,PARKBUD001,11,2,8,0,,,,,,,,,,,,
1,1941,JOHNBER001,10,1,30,0,,,,,,,,,,,,
1,1941,IVYAPOP001,11,1,20,1,,,,,,,,,,,,
1,1941,KUHAJOE001,10,1,20,0,,,,,,,,,,,,
1,1941,CHISAND001,11,1,7,0,,,,,,,,,,,,
1,1941,APOLRAY001,11,1,4,0,,,,,,,,,,,,
1,1941,MARTJOH001,9,1,2,0,,,,,,,,,,,,
1,1941,MORRBOB002,9,1,0,0,,,,,,,,,,,,
1,1942,MARTJOH001,11,6,45,0,,,,,,,,,,,,
1,1942,LACHSTE001,9,4,52,0,,,,,,,,,,,,
1,1942,GOLDMAR001,11,3,39,0,,,,,,,,,,,,
1,1942,BANOVIN001,11,2,22,0,,,,,,,,,,,,
1,1942,APOLRAY001,11,2,15,0,,,,,,,,,,,,
1,1942,KNOLJOH001,11,1,28,0,,,,,,,,,,,,
1,1942,ALLTJOE001,11,1,24,0,,,,,,,,,,,,
1,1942,SCHWBUD001,11,1,21,0,,,,,,,,,,,,
1,1942,POPOMIL001,10,1,6,0,,,,,,,,,,,,
1,1942,DADDBIL001,11,1,4,0,,,,,,,,,,,,
1,1942,CHEALLO001,11,1,4,0,,,,,,,,,,,,
1,1942,SEIBCHA001,11,1,3,1,,,,,,,,,,,,
1,1942,DUGGGIL001,11,1,0,0,,,,,,,,,,,,
1,1943,GRIGJOH001,10,5,42,0,,,,,,,,,,,,
1,1943,RANKWAL001,10,3,30,0,,,,,,,,,,,,
1,1943,MORRBOB002,10,2,49,0,,,,,,,,,,,,
1,1943,HALLJOH003,8,2,49,0,,,,,,,,,,,,
