fid,season,playerid,g,fgm,fga,patm,pata,pt,ptyds
1,2018,GONZZAN001,5,7,9,5,6,,
1,2018,DAWSPHI001,10,5,8,15,15,,
1,2018,MCCRMAT001,1,,,3,3,,
1,2018,LEEAAND001,16,,,,,94,4568
1,2017,DAWSPHI001,16,32,40,23,26,,
1,2017,LEEAAND001,16,,,,,88,4159
1,2016,CATACHA001,16,21,28,43,47,2,66
1,2016,QUIGRYA001,6,,,,,34,1416
1,2016,BUTLDRE001,7,,,,,32,1350
1,2016,WILEMAT001,3,,,,,10,437
1,2015,CATACHA001,16,28,31,53,58,,
1,2015,BUTLDRE001,16,,,,,60,2575
1,2014,CATACHA001,16,29,33,27,27,,
1,2014,BUTLDRE001,15,,,,,79,3328
1,2014,ZASTDAV001,2,,,,,11,487
1,2013,FEELJAY001,16,30,36,37,37,,
1,2013,ZASTDAV001,16,,,,,78,3566
1,2012,FEELJAY001,16,25,28,25,25,,
1,2012,ZASTDAV001,16,,,,,112,5209
1,2011,FEELJAY001,16,19,24,33,33,,
1,2011,ZASTDAV001,15,,,,,87,3929
1,2011,GRAHBEN001,1,,,,,5,212
1,2010,FEELJAY001,16,24,27,29,29,,
1,2010,GRAHBEN001,16,,,,,94,4080
1,2009,RACKNEI001,14,16,17,37,38,,
1,2009,NUGEMIK001,2,2,2,8,8,,
1,2009,GRAHBEN001,16,,,,,86,4045
1,2008,RACKNEI001,16,25,28,44,44,,
1,2008,JOHNDIR001,12,,,,,40,1670
1,2008,GRAHBEN001,4,,,,,20,839
1,2007,RACKNEI001,16,21,30,47,48,,
1,2007,BARRMIK001,11,,,,,59,2385
1,2007,BERGMIT001,5,,,,,20,813
1,2006,RACKNEI001,16,28,37,32,32,,
1,2006,PLAYSCO001,16,,,,,66,2965
1,2005,RACKNEI001,15,40,42,20,20,,
1,2005,NOVANIC001,5,3,3,,,,
1,2005,PLAYSCO001,16,,,,,73,3206
1,2004,RACKNEI001,16,22,29,28,28,,
1,2004,PLAYSCO001,16,,,,,98,4230
1,2003,RACKNEI001,7,9,12,8,8,,
1,2003,DUNCTIM001,5,6,10,5,6,,
1,2003,GRAMBIL001,4,3,4,6,6,,
1,2003,PLAYSCO001,16,,,,,82,3511
1,2002,GRAMBIL001,16,15,21,29,29,,
1,2002,PLAYSCO001,16,,,,,88,3864
1,2001,GRAMBIL001,13,16,20,25,25,1,41
1,2001,OGLECED001,3,5,6,7,7,,
1,2001,PLAYSCO001,12,,,,,67,2779
1,2001,STANCHA001,4,,,,,19,751
1,2000,BLANCAR001,16,16,23,18,19,,
1,2000,PLAYSCO001,16,,,,,65,2871
1,1999,JACKCHR001,16,19,27,26,26,,
1,1999,PLAYSCO001,16,,,,,94,3948
1,1998,NEDNJOE001,12,13,19,30,30,,
1,1998,JACKCHR001,4,10,14,6,6,,
1,1998,PLAYSCO001,16,,,,,81,3378
1,1997,NEDNJOE001,10,11,17,19,19,,
1,1997,BUTLKEV001,6,8,12,9,10,,
1,1997,FEAGJEF001,16,,,,,91,4028
1,1996,BUTLKEV001,7,14,17,17,19,,
1,1996,DAVIGRE001,9,9,14,12,12,,
1,1996,FEAGJEF001,16,,,,,76,3328
1,1995,DAVIGRE001,16,30,39,19,19,,
1,1995,FEAGJEF001,16,,,,,72,3150
1,1994,DAVIGRE001,14,20,26,17,17,,
1,1994,PETETOD001,2,2,4,4,4,,
1,1994,FEAGJEF001,16,,,,,98,3997
1,1993,DAVIGRE001,16,21,28,37,37,,
1,1993,CAMARIC001,16,,,,,73,3189
1,1992,DAVIGRE001,16,13,26,28,28,4,167
1,1992,CAMARIC001,15,,,,1,54,2317
1,1991,DAVIGRE001,16,21,30,19,19,,
1,1991,CAMARIC001,16,,,,,76,3445
1,1990,DELGALA001,16,17,27,31,31,,
1,1990,CAMARIC001,16,,,,,67,2865
1,1989,DELGALA001,16,18,26,28,29,,
1,1989,CAMARIC001,15,,,,,76,3298
1,1989,TUPATOM001,14,,,,,6,280
1,1988,DELGALA001,16,12,21,42,44,,
1,1988,HORNGRE001,16,,,,,79,3228
1,1987,GALLJIM001,13,9,19,30,31,,
1,1987,DELGALA001,3,4,5,8,9,,
1,1987,STAUJAS001,2,1,3,6,6,,
1,1987,CATEGRE001,9,,,,,39,1470
1,1987,HORNGRE001,5,,,,,24,971
1,1987,ROYAMAR001,1,,,,,6,222
1,1986,LEEAJOH002,11,8,13,14,17,,
1,1986,SCHUERI001,5,3,11,9,9,,
1,1986,CATEGRE001,11,,,,,61,2271
1,1986,ARAPEVA001,5,,,,,30,1140
1,1985,ODONNEI002,8,10,18,19,19,,
1,1985,BOJONOV001,6,3,7,11,12,,
1,1985,ATKIJES001,2,,3,3,3,,
1,1985,BIRDCAR001,16,,,,,85,3545
1,1984,ODONNEI002,16,23,35,48,51,,
1,1984,BIRDCAR001,16,,,,,67,2594
1,1983,ODONNEI002,16,15,28,45,47,,
1,1983,BIRDCAR001,16,,,,,85,3529
1,1982,ODONNEI002,8,8,13,15,16,,
1,1982,BIRDCAR001,9,,,,,54,2365
1,1981,ODONNEI002,16,19,32,36,37,,
1,1981,BIRDCAR001,16,,,,,69,2883
1,1980,ODONNEI002,10,11,15,18,18,,
1,1980,LITTSTE001,6,3,8,17,19,,
1,1980,SWIDLAR001,16,,,,,99,4111
1,1979,LITTSTE001,16,10,19,24,32,79,3060
1,1979,WOODMIK001,3,2,7,6,7,,
1,1979,PARRGAR001,9,,,1,1,,
1,1978,BAKKJIM001,16,11,22,27,30,4,147
1,1978,WOODMIK001,8,,,,,51,1919
1,1978,LITTSTE001,11,,,,,46,1749
1,1977,BAKKJIM001,14,7,16,35,36,,
1,1977,CARRDUA001,10,,,,,49,1757
1,1977,JOYCTER001,4,,,,,22,851
1,1976,BAKKJIM001,14,20,27,33,35,,
1,1976,JOYCTER001,14,,,,,64,2331
1,1975,BAKKJIM001,14,19,24,40,41,,
1,1975,WEHRROG001,14,,,1,1,,
1,1975,WESTJEF001,14,,,,,64,2412
1,1974,BAKKJIM001,14,13,22,30,36,,
1,1974,ROBEHAL001,14,,,,,81,3131
1,1973,BAKKJIM001,14,23,32,31,31,,
1,1973,KEITGAR001,14,,,,,66,2478
1,1972,BAKKJIM001,14,14,22,19,21,1,26
1,1972,ANDEDON002,14,,,,,72,2847
1,1971,BAKKJIM001,14,21,32,24,24,5,207
1,1971,LATOCHU001,13,,,,,56,2157
1,1970,BAKKJIM001,14,20,32,37,38,,
1,1970,LATOCHU001,14,,,,,65,2659
1,1969,BAKKJIM001,14,12,24,38,40,,
1,1969,HILLKIN001,14,,,,,73,2746
1,1968,BAKKJIM001,14,15,24,40,40,,
1,1968,LATOCHU001,14,,,,,65,2701
1,1967,BAKKJIM001,14,27,39,36,36,,
1,1967,LATOCHU001,14,,,,,62,2532
1,1966,BAKKJIM001,14,23,40,27,28,29,961
1,1966,SMITJAC003,14,,,,,47,1781
1,1966,STOVJER001,14,,,,,5,139
1,1965,BAKKJIM001,14,21,31,33,33,26,1098
1,1965,SMITJAC003,14,,,,,39,1532
1,1965,STOVJER001,10,,,,,2,80
1,1964,BAKKJIM001,14,25,38,40,40,,
1,1964,SMITJAC003,14,,,,,41,1658
1,1964,STOVJER001,14,,,,,15,632
1,1963,BAKKJIM001,14,11,21,44,44,,
1,1963,STOVJER001,14,,,,,65,2647
1,1962,PERRGER002,14,5,12,38,39,,
1,1962,CONRBOB001,14,,1,,,,
1,1962,BAKKJIM001,8,,1,,,,
1,1962,ETCHSAM001,14,,,,,59,2259
1,1961,PERRGER002,13,7,16,30,33,,
1,1961,CONRBOB001,14,,1,4,4,,
1,1961,NORTJER001,14,,,,,85,3802
1,1960,PERRGER002,12,13,20,5,5,,
1,1960,CONRBOB001,12,2,5,28,29,,
1,1960,NORTJER001,12,,,,,39,1777
1,1960,HILLKIN001,12,,,,,5,198
1,1959,CONRBOB001,12,6,9,30,31,,
1,1959,NORTJER001,12,,,,,59,2650
1,1959,HILLKIN001,11,,,,,3,118
1,1958,CONRBOB001,12,6,17,33,35,,
1,1958,GORDBOB001,12,,,,,55,2089
1,1958,MCHALAM001,12,,,,,2,65
1,1957,SUMMPAT001,12,6,17,24,26,,
1,1957,MANNDAV001,12,,,,,59,2509
1,1956,SUMMPAT001,12,10,22,30,30,,
1,1956,MANNDAV001,12,,,,,36,1346
1,1956,ROACJOH001,8,,,,,11,449
1,1956,MCHALAM001,12,,,,,8,285
1,1955,SUMMPAT001,11,8,19,23,25,,
1,1955,MANNDAV001,12,1,1,,2,43,1723
1,1955,KEANTOM001,11,,1,,,,
1,1955,MCHALAM001,12,,,,2,,
1,1955,TRIPCHA001,5,,,,,32,1301
1,1954,SUMMPAT001,12,8,18,21,23,,
1,1954,CRITJAC001,10,,1,,,,
1,1954,TRIPCHA001,12,,,,,59,2308
1,1954,MCHALAM001,12,,,,,4,159
1,1953,SUMMPAT001,12,9,24,23,23,,
1,1953,TRIPCHA001,12,,,,,54,2314
1,1953,SIMMJAC001,12,,,,,22,845
1,1952,GERIJOE001,12,2,18,22,24,29,1094
