fid,season,playerid,g,patt,pcmp,pyds,ptd,pint
1,2018,ROSEJOS001,14,393,217,2278,11,14
1,2018,BRADSAM001,3,80,50,400,2,4
1,2018,GLENMIK001,2,21,15,174,1,0
1,2018,FITZLAR001,16,1,1,32,1,0
1,2017,PALMCAR001,7,267,164,1978,9,7
1,2017,GABBBLA001,5,171,95,1086,6,6
1,2017,STANDRE001,5,159,79,894,6,5
1,2017,FITZLAR001,16,1,1,21,0,0
1,2016,PALMCAR001,15,597,364,4233,26,14
1,2016,STANDRE001,5,48,19,192,2,3
1,2016,FITZLAR001,16,1,0,0,0,0
1,2015,PALMCAR001,16,537,342,4671,35,11
1,2015,STANDRE001,7,25,11,104,0,2
1,2014,STANDRE001,9,240,132,1711,7,5
1,2014,PALMCAR001,6,224,141,1626,11,3
1,2014,LINDRYA001,3,93,45,562,2,4
1,2014,THOMLOG001,2,9,1,81,1,0
1,2014,GINNTED001,16,1,1,10,0,0
1,2014,GRICMAR001,10,1,0,0,0,0
1,2013,PALMCAR001,16,572,362,4274,24,22
1,2013,PETEPAT001,16,1,1,17,0,0
1,2013,FITZLAR001,16,1,0,0,0,0
1,2012,SKELJOH001,7,201,109,1132,2,9
1,2012,KOLBKEV001,6,183,109,1169,8,3
1,2012,LINDRYA001,6,171,89,752,0,7
1,2012,HOYEBRI001,2,53,30,330,1,2
1,2011,SKELJOH001,8,275,151,1913,11,14
1,2011,KOLBKEV001,9,253,146,1955,9,8
1,2011,BARTRIC002,2,22,10,86,1,1
1,2010,ANDEDER001,12,327,169,2065,7,10
1,2010,SKELJOH001,5,126,60,662,2,2
1,2010,HALLMAX001,6,78,39,370,1,6
1,2010,BARTRIC002,1,28,16,150,0,1
1,2010,BREASTE001,13,2,1,17,0,0
1,2009,WARNKUR001,15,513,339,3753,26,14
1,2009,LEINMAT001,8,77,51,435,0,3
1,2009,STPIBRI001,1,4,2,12,1,1
1,2008,WARNKUR001,16,598,401,4583,30,14
1,2008,LEINMAT001,4,29,15,264,1,1
1,2008,URBAJER001,16,1,1,18,0,0
1,2008,JOHNDIR001,12,1,1,10,0,0
1,2008,ARRIJJA001,11,1,0,0,0,0
1,2007,WARNKUR001,14,451,281,3417,27,17
1,2007,LEINMAT001,5,112,60,647,2,4
1,2007,RATTTIM001,4,27,15,164,3,3
1,2006,LEINMAT001,12,377,214,2547,11,12
1,2006,WARNKUR001,6,168,108,1377,6,5
1,2005,WARNKUR001,10,375,242,2713,11,9
1,2005,MCCOJOS001,9,270,163,1836,9,11
1,2005,NAVAJOH001,1,24,14,174,1,1
1,2005,BOLDANQ001,14,1,0,0,0,0
1,2004,MCCOJOS001,14,408,233,2511,11,10
1,2004,KINGSHA001,3,84,47,502,1,4
1,2004,NAVAJOH001,1,40,18,168,1,4
1,2004,SMITEMM001,15,1,1,21,1,0
1,2004,FITZLAR001,16,0,0,0,0,0
1,2003,BLAKJEF001,13,367,208,2247,13,15
1,2003,MCCOJOS001,8,166,95,1018,5,6
1,2003,BOLDANQ001,16,1,0,0,0,1
1,2002,PLUMJAK001,16,530,284,2972,18,20
1,2002,MCCOJOS001,2,18,7,66,0,2
1,2001,PLUMJAK001,16,525,304,3653,18,14
1,2001,SANDFRA001,15,1,0,0,0,0
1,2000,PLUMJAK001,14,475,270,2946,13,21
1,2000,BROWDAV004,6,69,40,467,2,3
1,2000,GREICHR001,3,10,6,65,1,0
1,1999,PLUMJAK001,12,381,201,2111,9,24
1,1999,BROWDAV004,8,169,84,944,2,6
1,1999,GREICHR001,2,6,1,4,0,0
1,1999,PITTMIC001,10,1,1,26,0,0
1,1999,SANDFRA001,16,1,0,0,0,0
1,1998,PLUMJAK001,16,547,324,3737,17,20
1,1998,BROWDAV004,1,5,2,31,0,0
1,1997,PLUMJAK001,10,296,157,2203,15,15
1,1997,GRAHKEN002,8,250,130,1408,4,5
1,1997,CASESTO001,3,55,29,316,0,2
1,1997,SANDFRA001,16,1,1,26,0,0
1,1996,ESIABOO001,10,339,190,2293,11,14
1,1996,GRAHKEN002,10,274,146,1624,12,7
1,1995,KRIEDAV001,16,521,304,3554,16,21
1,1995,BUCKMIK001,4,32,20,271,1,0
1,1995,MOORROB001,15,2,1,33,0,1
1,1995,CASESTO001,2,2,1,19,0,1
1,1995,HEARGAR001,16,2,1,16,0,0
1,1995,CENTLAR001,16,1,0,0,0,1
1,1994,BEUESTE001,9,255,130,1545,5,9
1,1994,SCHRJAY001,9,238,133,1510,4,7
1,1994,MCMAJIM001,2,43,23,219,1,3
1,1994,HEARGAR001,8,1,1,10,1,0
1,1994,MOORRON002,16,1,0,0,0,0
1,1993,BEUESTE001,16,418,258,3164,18,17
1,1993,CHANCHR001,4,103,52,471,3,2
1,1993,HEARGAR001,6,1,0,0,0,1
1,1992,CHANCHR001,15,413,245,2832,15,15
1,1992,ROSETIM001,8,92,49,483,0,6
1,1992,SACCTON001,2,11,4,29,0,2
1,1992,PROERIC001,16,1,0,0,0,1
1,1991,TUPATOM001,11,315,165,2053,6,13
1,1991,GELBSTA001,6,118,61,674,3,10
1,1991,CHANCHR001,3,50,25,289,1,2
1,1991,KUPPCRA001,1,7,3,23,0,0
1,1991,CAMARIC001,16,1,0,0,0,0
1,1991,THOMANT002,16,1,0,0,0,0
1,1990,ROSETIM001,16,437,237,3098,16,17
1,1990,GREEROY001,16,1,1,20,0,0
1,1990,JOHNJOH005,14,1,0,0,0,1
1,1989,HOGEGAR001,14,364,204,2591,14,19
1,1989,TUPATOM001,14,134,65,973,3,9
1,1989,ROSETIM001,2,22,9,95,0,1
1,1989,AWALROB001,16,1,0,0,0,1
1,1989,CAMARIC001,15,1,1,0,0,0
1,1989,SIKAVAI001,16,1,0,0,0,0
1,1988,LOMANEI001,14,443,255,3395,20,11
1,1988,STOUCLI001,16,113,63,747,6,8
1,1988,TUPATOM001,2,6,4,49,0,0
1,1987,LOMANEI001,12,463,275,3387,24,12
1,1987,HALLSHA001,3,42,18,263,0,1
1,1987,GARZSAM001,2,20,11,183,1,2
1,1987,MITCSTU001,12,3,1,17,0,0
1,1987,STOUCLI001,12,1,0,0,0,0
1,1986,LOMANEI001,14,421,240,2583,13,12
1,1986,STOUCLI001,5,91,52,542,3,7
1,1986,MITCSTU001,15,3,1,15,1,0
1,1986,ARAPEVA001,5,1,0,0,0,0
1,1985,LOMANEI001,16,471,265,3214,18,12
1,1985,BRUNSCO001,16,60,30,336,1,6
1,1985,MITCSTU001,16,2,1,31,0,0
1,1985,BIRDCAR001,16,1,0,0,0,0
1,1984,LOMANEI001,16,560,345,4614,28,16
1,1984,MCIVRIC001,4,4,0,0,0,0
1,1984,MITCSTU001,16,1,1,20,0,0
1,1984,PERRBEN001,16,1,1,0,0,0
1,1983,LOMANEI001,13,354,209,2636,24,11
1,1983,HARTJIM002,5,91,50,592,4,8
1,1983,LISCRUS001,4,13,6,66,1,2
1,1983,BIRDCAR001,16,1,1,11,0,0
1,1983,PERRBEN001,16,1,1,4,0,0
1,1982,LOMANEI001,9,205,109,1367,5,6
1,1982,HARTJIM002,4,33,19,199,1,0
1,1982,HARRWIL002,7,1,1,10,0,0
1,1982,GREEROY001,9,1,0,0,0,0
1,1981,HARTJIM002,10,241,134,1694,11,14
1,1981,LOMANEI001,14,236,119,1575,4,10
1,1980,HARTJIM002,15,425,228,2946,16,20
1,1980,LOYDMIK001,5,28,5,49,0,1
1,1980,LISCRUS001,2,17,6,68,0,3
1,1980,WEHRROG001,16,0,0,0,0,0
1,1979,HARTJIM002,14,378,194,2218,9,20
1,1979,PISASTE001,6,109,52,621,3,4
1,1979,LITTSTE001,16,3,2,31,0,0
1,1979,ANDEOTT001,16,1,0,0,0,0
1,1979,HARRWIL002,14,1,0,0,0,0
1,1978,HARTJIM002,15,477,240,3121,16,18
1,1978,PISASTE001,3,29,10,164,0,3
1,1978,STIEDAV001,15,1,1,43,0,0
1,1978,WOODMIK001,8,1,1,29,0,0
1,1977,HARTJIM002,14,355,186,2542,13,20
1,1977,DONCBIL001,5,5,5,38,0,0
1,1977,METCTER002,14,5,3,27,1,1
1,1977,JOYCTER001,4,1,1,1,0,0
1,1976,HARTJIM002,14,388,218,2946,18,13
1,1976,DONCBIL001,1,1,1,16,0,0
1,1976,WYCHSAM001,1,1,1,5,0,0
1,1976,METCTER002,12,1,0,0,0,0
1,1976,WEHRROG001,14,1,0,0,0,0
1,1975,HARTJIM002,14,345,182,2507,19,19
1,1975,SHAWDEN001,3,8,4,61,0,1
1,1975,METCTER002,13,2,1,51,1,0
1,1975,BAKKJIM001,14,0,0,0,0,0
1,1974,HARTJIM002,14,388,200,2411,20,8
1,1974,METCTER002,14,2,0,0,0,0
1,1974,HAMMGAR001,12,1,1,81,0,0
1,1973,HARTJIM002,12,320,178,2223,15,10
1,1973,KEITGAR001,14,73,32,369,1,5
1,1973,HAMMGAR001,9,1,0,0,0,0
1,1972,CUOZGAR001,8,158,69,897,5,11
1,1972,HARTJIM002,6,119,60,857,5,5
1,1972,VANGTIM001,5,79,40,434,1,7
1,1972,ANDEDON002,14,3,2,71,0,0
1,1972,SMITJAC003,14,2,0,0,0,0
1,1972,WILSLAR001,12,2,0,0,0,0
1,1971,HARTJIM002,11,243,110,1626,8,14
1,1971,BEATPET001,9,141,60,1030,6,12
1,1971,SHIVROY001,11,1,0,0,0,0
1,1970,HARTJIM002,14,373,171,2575,14,18
