fid,season,playerid,g,pr,pryds,prtd,kr,kryds,krtd
1,2018,LOGATJA001,10,,,,12,296,0
1,2018,WILLBRA005,16,,,,10,192,0
1,2018,EDMOCHA001,16,,,,3,48,0
1,2018,KIRKCHR002,12,21,164,0,,,
1,2018,PETEPAT001,16,9,64,0,,,
1,2018,COOPPHA001,2,6,67,0,,,
1,2017,FOSTDJA001,7,,,,8,184,0
1,2017,NIKLTRO001,15,,,,1,1,0
1,2017,WILLKER001,16,21,137,0,16,326,0
1,2017,PETEPAT001,16,13,88,0,,,
1,2017,GOLDBRI001,13,7,63,0,4,81,0
1,2016,BROWJOH004,15,17,119,0,1,51,0
1,2016,PETEPAT001,16,13,81,0,1,11,0
1,2016,GOLDBRI001,12,7,30,0,11,266,0
1,2016,JONECHA001,16,1,0,0,,,
1,2016,ELLIAND001,16,,,,10,163,0
1,2016,NELSJJA001,15,,,,2,53,0
1,2015,PETEPAT001,16,32,260,0,2,46,0
1,2015,NELSJJA001,11,4,13,0,,,
1,2015,GOLDBRI001,16,3,16,0,,,
1,2015,JOHNDAV007,16,,,,22,599,1
1,2015,WILLKER001,6,,,,8,126,0
1,2014,GINNTED001,16,26,277,1,22,417,0
1,2013,PETEPAT001,16,33,198,0,1,18,0
1,2013,ARENJAV001,16,1,0,0,23,493,0
1,2013,MATHTYR001,13,,,,2,8,0
1,2013,ELLIAND001,15,,,,1,21,0
1,2012,PETEPAT001,16,51,426,0,,,
1,2012,ROBEAND001,15,3,15,0,,,
1,2012,POWEWIL001,13,,,,21,507,0
1,2012,STEPLAR002,14,,,,18,405,0
1,2012,DOUCEAR001,12,,,,1,18,0
1,2011,PETEPAT001,16,44,699,4,,,
1,2011,ROBEAND001,16,2,-3,0,2,33,0
1,2011,STEPLAR002,14,,,,36,857,0
1,2011,JEFFAJA001,16,,,,14,356,0
1,2010,ROBEAND001,15,35,263,0,14,326,0
1,2010,KOMAMAX001,8,5,31,0,,,
1,2010,RODGDOM001,16,1,0,0,,,
1,2010,WAREMAT001,14,1,0,0,,,
1,2010,STEPLAR002,13,,,,57,1548,2
1,2010,BREASTE001,13,,,,7,162,0
1,2010,SPACSTE001,15,,,,2,26,0
1,2010,WRIGJAS001,15,,,,2,8,0
1,2010,WILLSTE003,11,,,,1,14,0
1,2010,OBIOCYR001,6,,,,1,0,0
1,2009,BREASTE001,15,38,253,0,,,
1,2009,ROLLANT001,15,6,55,0,,,
1,2009,TOLEGRE001,13,1,0,0,,,
1,2009,STEPLAR002,16,,,,52,1257,1
1,2009,WRIGJAS001,16,,,,2,27,0
1,2008,BREASTE001,16,33,237,0,33,667,0
1,2008,ARRIJJA001,11,,,,36,923,1
1,2008,MORESEA001,16,,,,2,23,0
1,2008,CAMPCAL001,16,,,,2,16,0
1,2008,URBAJER001,16,,,,2,1,0
1,2007,BREASTE001,16,42,395,1,62,1391,0
1,2007,ARRIJJA001,16,,,,11,251,0
1,2007,MORESEA001,15,,,,1,40,0
1,2006,WALTTRO001,15,24,250,0,,,
1,2006,JOHNBRY003,16,1,0,0,2,29,0
1,2006,ARRIJJA001,16,,,,67,1520,1
1,2006,SPURMIC001,1,,,,3,54,0
1,2006,WAKEFRE001,16,,,,1,7,0
1,2005,SWINREG001,15,42,334,0,63,1456,0
1,2005,MOSEJJA001,2,7,40,0,7,177,0
1,2005,JOHNBRY003,14,1,9,0,2,45,0
1,2005,AYANOBA001,16,,,,1,16,0
1,2005,JACKJAM002,8,,,,1,14,0
1,2005,ANDEDAM001,5,,,,1,7,0
1,2005,GREEERI002,12,,,,1,4,0
1,2004,WILLKAR001,15,42,286,0,1,18,0
1,2004,STARDUA001,15,7,43,0,,,
1,2004,SCOBJOS002,12,,,,32,723,0
1,2004,CROOLAR001,6,,,,16,314,0
1,2004,JOHNBRY003,16,,,,6,135,0
1,2004,AYANOBA001,16,,,,3,50,0
1,2004,EDWAERI001,16,,,,3,40,0
1,2004,HAYEGER001,16,,,,3,6,0
1,2004,VANDKYL001,16,,,,1,7,0
1,2003,BOLDANQ001,16,20,130,0,,,
1,2003,GOSSJAS001,4,1,7,0,,,
1,2003,JOHNBRY003,15,1,3,0,,,
1,2003,SCOBJOS002,15,,,,73,1684,1
1,2003,KASPKEV001,7,,,,5,136,0
1,2003,ANDEDAM001,16,,,,2,31,0
1,2003,GARCFRA002,7,,,,1,17,0
1,2003,HODGJAM001,16,,,,1,13,0
1,2002,JACKARN001,16,31,182,0,,,
1,2002,LASSKWA001,16,4,21,0,,,
1,2002,RHINCOB001,16,1,18,0,,,
1,2002,KASPKEV001,6,,,,32,722,0
1,2002,JENKMAR001,8,,,,20,559,1
1,2002,ANDEDAM001,10,,,,12,227,0
1,2002,SHIPMAR001,15,,,,6,120,0
1,2002,MCADJAS001,9,,,,2,45,0
1,2002,MAKOJOE001,12,,,,2,30,0
1,2002,BUSHSTE001,16,,,,2,24,0
1,2002,YOUNMIC001,16,,,,2,22,0
1,2002,BANKMIK001,12,,,,1,18,0
1,2002,BURKTOM001,6,,,,1,15,0
1,2002,MORGDON001,7,,,,1,15,0
1,2001,JACKARN001,16,40,461,0,2,46,0
1,2001,LASSKWA001,16,3,11,0,,,
1,2001,JENKMAR001,13,,,,49,1120,0
1,2001,PITTMIC001,15,,,,6,161,0
1,2001,SHIPMAR001,11,,,,6,118,0
1,2001,BURKTOM001,12,,,,1,15,0
1,2001,MCKIDEN001,14,,,,1,11,0
1,2001,BUSHSTE001,9,,,,1,9,0
1,2001,MAKOJOE001,16,,,,1,7,0
1,2000,CODYMAC001,15,31,222,0,1,18,0
1,2000,JENKMAR001,16,1,1,0,82,2186,1
1,2000,MCKIDEN001,16,,,,1,20,0
1,2000,BENNTOM001,11,,,,1,17,0
1,2000,MCKIRON001,16,,,,1,9,0
1,2000,BARRDAV003,16,,,,0,46,0
1,1999,CODYMAC001,13,32,373,0,4,76,0
1,1999,BOSTDAV001,16,7,62,0,,,
1,1999,PITTMIC001,10,4,16,0,2,31,0
1,1999,KNIGTOM001,16,3,38,0,,,
1,1999,MCCLJJA001,16,1,0,0,,,
1,1999,BATEMAR002,16,,,,52,1231,0
1,1999,TILLPAT002,16,,,,3,33,0
1,1999,LASSKWA001,16,,,,1,13,0
1,1999,MAKOJOE001,16,,,,1,10,0
1,1999,DISHCHR001,13,,,,1,9,0
1,1998,METCERI001,16,43,295,0,57,1218,0
1,1998,PITTMIC001,15,,,,4,84,0
1,1998,GEDNCHR001,16,,,,2,12,0
1,1997,WILLKEV005,16,40,462,0,59,1458,0
1,1997,EDWAANT001,16,1,-1,0,,,
1,1997,BOUIKEV001,5,,,,6,136,0
1,1997,SMITCED001,16,,,,3,50,0
1,1997,GEDNCHR001,16,,,,2,26,0
1,1997,JOHNLES001,14,,,,0,26,0
1,1996,DOWDMAR001,15,34,297,0,5,122,0
1,1996,EDWAANT001,16,5,46,0,,,
1,1996,MCELLEE001,16,,,,54,1148,0
