fid,season,playerid,g,ratt,rnet,rtd,rec,recyds,rectd
1,2018,JOHNDAV007,16,258,940,7,50,446,3
1,2018,EDMOCHA001,16,60,208,2,20,103,0
1,2018,ROSEJOS001,14,23,138,0,,,
1,2018,NELSJJA001,14,4,0,0,7,64,0
1,2018,KIRKCHR002,12,3,35,0,43,590,3
1,2018,BRADSAM001,3,2,7,0,,,
1,2018,COLEDER001,16,2,3,0,2,17,0
1,2018,LOGATJA001,10,2,2,0,7,37,0
1,2018,WILLCHA005,10,1,9,0,17,171,1
1,2018,FITZLAR001,16,0,0,0,69,734,6
1,2018,SEALRIC001,15,0,0,0,34,343,1
1,2018,SHERTRE001,13,0,0,0,19,210,1
1,2018,GRESJER001,13,0,0,0,9,94,0
1,2018,PHILJOH001,8,0,0,0,3,38,0
1,2018,TOLLJAL001,3,0,0,0,3,37,0
1,2017,PETEADR002,6,129,448,2,9,66,0
1,2017,WILLKER001,16,120,426,1,10,93,0
1,2017,JOHNCHR004,4,45,114,0,5,43,0
1,2017,PENNELI001,16,31,124,2,4,38,0
1,2017,GABBBLA001,5,23,82,0,,,
1,2017,ELLIAND001,8,15,53,1,33,297,0
1,2017,PALMCAR001,7,14,12,0,,,
1,2017,JOHNDAV007,1,11,23,0,6,67,0
1,2017,STANDRE001,5,9,7,0,,,
1,2017,FOSTDJA001,7,6,19,0,17,133,0
1,2017,NELSJJA001,16,3,37,0,29,508,2
1,2017,WILLCHA005,6,2,33,0,3,31,0
1,2017,BROWJOH004,10,1,10,0,21,299,3
1,2017,HILLBRO001,2,1,-2,0,,,
1,2017,FITZLAR001,16,0,0,0,109,1156,6
1,2017,GRESJER001,14,0,0,0,33,322,2
1,2017,BROWJAR001,16,0,0,0,31,477,4
1,2017,SEALRIC001,10,0,0,0,12,201,3
1,2017,NIKLTRO001,15,0,0,0,11,132,1
1,2017,GOLDBRI001,13,0,0,0,5,70,0
1,2017,MOMAIFE001,9,0,0,0,1,46,0
1,2016,JOHNDAV007,16,293,1239,16,80,879,4
1,2016,ELLIAND001,16,34,96,0,12,85,0
1,2016,JOHNCHR004,4,25,95,1,0,0,0
1,2016,WILLKER001,10,18,157,2,1,6,0
1,2016,PALMCAR001,15,14,38,0,,,
1,2016,NELSJJA001,15,4,83,1,34,568,6
1,2016,TAYLSTE001,15,4,12,0,,,
1,2016,STANDRE001,5,3,-3,0,,,
1,2016,FITZLAR001,16,2,5,0,107,1023,6
1,2016,BROWJOH004,15,1,10,0,39,517,2
1,2016,BUTLDRE001,7,1,0,0,,,
1,2016,GRESJER001,16,0,0,0,37,391,2
1,2016,FLOYMIC001,13,0,0,0,33,446,4
1,2016,FELLDAR001,14,0,0,0,14,154,1
1,2016,BROWJAR001,7,0,0,0,11,187,1
1,2016,GOLDBRI001,12,0,0,0,8,82,1
1,2016,ROSSJER001,2,0,0,0,4,37,1
1,2016,MOMAIFE001,5,0,0,0,2,50,0
1,2016,NIKLTRO001,3,0,0,0,1,0,0
1,2015,JOHNCHR004,11,196,814,3,6,58,0
1,2015,JOHNDAV007,16,125,581,8,36,457,4
1,2015,ELLIAND001,10,45,289,3,15,148,0
1,2015,WILLKER001,6,27,142,1,2,16,0
1,2015,PALMCAR001,16,25,24,1,,,
1,2015,TAYLSTE001,16,17,58,0,1,4,0
1,2015,STANDRE001,7,13,-13,0,,,
1,2015,BROWJOH004,15,3,22,0,65,1003,7
1,2015,NELSJJA001,11,1,0,0,11,299,2
1,2015,FITZLAR001,16,0,0,0,109,1215,9
1,2015,FLOYMIC001,15,0,0,0,52,849,6
1,2015,FELLDAR001,14,0,0,0,21,311,3
1,2015,GRESJER001,15,0,0,0,18,223,1
1,2015,BROWJAR001,16,0,0,0,11,144,1
1,2015,NIKLTRO001,16,0,0,0,4,33,2
1,2015,IUPAMIK001,13,0,0,0,1,10,0
1,2015,GOLDBRI001,16,0,0,0,1,5,0
1,2014,ELLIAND001,12,201,660,3,46,395,2
1,2014,TAYLSTE001,14,63,208,1,11,79,3
1,2014,WILLKER001,5,53,246,0,2,11,0
1,2014,STANDRE001,9,25,63,0,,,
1,2014,DWYEJON001,2,16,51,1,2,8,0
1,2014,GRICMAR001,10,15,41,1,7,29,0
1,2014,PALMCAR001,6,8,25,0,0,0,0
1,2014,HUGHROB001,16,7,11,0,8,140,0
1,2014,GINNTED001,16,3,6,0,14,190,0
1,2014,BROWJOH004,16,3,-6,0,48,696,5
1,2014,FLOYMIC001,16,1,2,0,47,841,6
1,2014,HOUSROB001,15,1,1,0,9,129,0
1,2014,PARMJAL001,1,1,0,0,,,
1,2014,FITZLAR001,14,0,0,0,63,784,2
1,2014,CARLJOH001,16,0,0,0,33,350,1
1,2014,BROWJAR001,16,0,0,0,22,229,2
1,2014,FELLDAR001,10,0,0,0,5,71,0
1,2014,NIKLTRO001,7,0,0,0,3,38,0
1,2013,MENDRAS001,15,217,687,8,18,134,0
1,2013,ELLIAND001,15,118,652,3,39,371,1
1,2013,TAYLSTE001,16,36,115,0,8,71,0
1,2013,PALMCAR001,16,27,3,0,,,
1,2013,SMITALF001,16,18,54,1,10,68,0
1,2013,PETEPAT001,16,4,21,0,6,54,0
1,2013,FITZLAR001,16,2,8,0,82,954,10
1,2013,FLOYMIC001,16,0,0,0,65,1041,5
1,2013,ROBEAND001,16,0,0,0,43,471,2
1,2013,HOUSROB001,13,0,0,0,39,454,1
1,2013,DRAYJIM001,16,0,0,0,26,215,2
1,2013,BROWJAR001,16,0,0,0,11,140,1
1,2013,BALLJAK001,8,0,0,0,7,75,2
1,2013,GOLDBRI001,5,0,0,0,4,136,0
1,2013,TAYLKER001,3,0,0,0,3,40,0
1,2013,WILLTED002,3,0,0,0,1,51,0
1,2013,SPERKOR001,8,0,0,0,1,16,0
1,2012,STEPLAR002,14,111,357,4,17,106,0
1,2012,WELLBEA001,8,88,234,5,1,24,0
1,2012,POWEWIL001,13,59,216,0,19,132,0
1,2012,WILLRYA001,5,58,164,0,7,44,0
1,2012,KOLBKEV001,6,16,100,1,,,
1,2012,ROBEAND001,15,4,29,0,64,759,5
1,2012,LINDRYA001,6,4,7,0,,,
1,2012,SKELJOH001,7,4,5,0,,,
1,2012,JOHNRAS001,15,2,64,0,,,
1,2012,PETEPAT001,16,2,13,0,3,11,0
1,2012,DOUCEAR001,12,2,9,0,28,207,0
1,2012,HOYEBRI001,2,1,6,0,,,
1,2012,FEELJAY001,16,1,0,0,,,
1,2012,FITZLAR001,16,0,0,0,71,798,4
1,2012,FLOYMIC001,16,0,0,0,45,562,2
1,2012,HOUSROB001,15,0,0,0,45,417,0
1,2012,KINGJEF001,16,0,0,0,17,129,0
1,2012,HEAPTOD001,2,0,0,0,8,94,0
1,2012,SHERANT001,13,0,0,0,5,39,0
1,2012,SMITALF001,11,0,0,0,2,21,0
1,2012,DRAYJIM001,13,0,0,0,2,15,0
1,2012,KELESEN001,1,0,0,0,1,10,0
