fid,season,playerid,g,td,conv2p,patm,pata,fgm,fga,saf,points
1,2018,JOHNDAV007,16,10,1,,,,,,62
1,2018,FITZLAR001,16,6,1,,,,,,38
1,2018,DAWSPHI001,10,,,15,15,5,8,,30
1,2018,GONZZAN001,5,,,5,6,7,9,,26
1,2018,KIRKCHR002,12,3,,,,,,,18
1,2018,EDMOCHA001,16,2,,,,,,,12
1,2018,BAKEBUD001,14,1,,,,,,,6
1,2018,BYNEJOS001,11,1,,,,,,,6
1,2018,GARDDEN001,16,1,,,,,,,6
1,2018,SEALRIC001,15,1,,,,,,,6
1,2018,SHERTRE001,13,1,,,,,,,6
1,2018,WILLCHA005,10,1,,,,,,,6
1,2018,MCCRMAT001,1,,,3,3,,,,3
1,2017,DAWSPHI001,16,,,23,26,32,40,,119
1,2017,FITZLAR001,16,6,1,,,,,,38
1,2017,BROWJAR001,16,4,,,,,,,24
1,2017,BROWJOH004,10,3,,,,,,,18
1,2017,SEALRIC001,10,3,,,,,,,18
1,2017,GRESJER001,14,2,,,,,,,12
1,2017,NELSJJA001,16,2,,,,,,,12
1,2017,PENNELI001,16,2,,,,,,,12
1,2017,PETEADR002,6,2,,,,,,,12
1,2017,BETHJUS001,16,1,,,,,,,6
1,2017,ELLIAND001,8,1,,,,,,,6
1,2017,NIKLTRO001,15,1,,,,,,,6
1,2017,NKEMROB001,12,1,,,,,,,6
1,2017,WILLKER001,16,1,,,,,,,6
1,2016,JOHNDAV007,16,20,1,,,,,,122
1,2016,CATACHA001,16,,,43,47,21,28,,106
1,2016,NELSJJA001,15,7,,,,,,,42
1,2016,FITZLAR001,16,6,,,,,,,36
1,2016,FLOYMIC001,13,4,,,,,,,24
1,2016,BROWJOH004,15,2,,,,,,,12
1,2016,GRESJER001,16,2,,,,,,,12
1,2016,WILLKER001,10,2,,,,,,,12
1,2016,CAMPCAL001,16,1,,,,,,1,8
1,2016,BETHJUS001,16,1,,,,,,,6
1,2016,BROWJAR001,7,1,,,,,,,6
1,2016,COOPMAR001,15,1,,,,,,,6
1,2016,FELLDAR001,14,1,,,,,,,6
1,2016,GOLDBRI001,12,1,,,,,,,6
1,2016,JOHNCHR004,4,1,,,,,,,6
1,2016,ROSSJER001,2,1,,,,,,,6
1,2016,PETECOR001,15,,,,,,,1,2
1,2015,CATACHA001,16,,,53,58,28,31,,137
1,2015,JOHNDAV007,16,13,,,,,,,78
1,2015,FITZLAR001,16,9,,,,,,,54
1,2015,BROWJOH004,15,7,,,,,,,42
1,2015,FLOYMIC001,15,6,,,,,,,36
1,2015,ELLIAND001,10,3,,,,,,,18
1,2015,FELLDAR001,14,3,,,,,,,18
1,2015,JOHNCHR004,11,3,,,,,,,18
1,2015,NELSJJA001,11,2,,,,,,,12
1,2015,NIKLTRO001,16,2,,,,,,,12
1,2015,BETHJUS001,16,1,,,,,,,6
1,2015,BROWJAR001,16,1,,,,,,,6
1,2015,BUCADEO001,16,1,,,,,,,6
1,2015,GRESJER001,15,1,,,,,,,6
1,2015,JEFFTON001,16,1,,,,,,,6
1,2015,MATHTYR001,14,1,,,,,,,6
1,2015,PALMCAR001,16,1,,,,,,,6
1,2015,POWEJER002,13,1,,,,,,,6
1,2015,REDDCOR001,12,1,,,,,,,6
1,2015,WILLKER001,6,1,,,,,,,6
1,2015,MINTKEV001,16,,,,,,,1,2
1,2015,RUCKFRO001,13,,,,,,,1,2
1,2014,CATACHA001,16,,,27,27,29,33,,114
1,2014,FLOYMIC001,16,6,,,,,,,36
1,2014,BROWJOH004,16,5,,,,,,,30
1,2014,ELLIAND001,12,5,,,,,,,30
1,2014,TAYLSTE001,14,4,1,,,,,,26
1,2014,BROWJAR001,16,2,,,,,,,12
1,2014,FITZLAR001,14,2,,,,,,,12
1,2014,JOHNRAS001,16,2,,,,,,,12
1,2014,CARLJOH001,16,1,1,,,,,,8
1,2014,CROMANT001,16,1,,,,,,,6
1,2014,DWYEJON001,2,1,,,,,,,6
1,2014,GINNTED001,16,1,,,,,,,6
