fid,team,season,league,conference,division,playoff_app,wild_card,div_title,conf_title,league_title,sb_title,title_notes,w,l,t,points,yards,plays,fd,to,pen,penyds,fdpen,patt,pcmp,pyds,ptd,pint,fdp,ratt,rnet,rtd,fdr,int,iyds,itd,pr,pryds,prtd,kr,kryds,krtd,patm,pata,fgm,fga,pt,ptyds,opp_points,opp_yards,opp_plays,opp_fd,opp_to,opp_pen,opp_penyds,opp_fdpen,opp_patt,opp_pcmp,opp_pyds,opp_ptd,opp_pint,opp_fdp,opp_ratt,opp_rnet,opp_rtd,opp_fdr,opp_pr,opp_pryds,opp_prtd,opp_kr,opp_kryds,opp_krtd,opp_patm,opp_pata,opp_fgm,opp_fga,opp_pt,opp_ptyds
1,Chicago Cardinals,1920,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,2,2,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Decatur Staleys,1920,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,10,1,2,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Akron Pros,1920,APFA,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,8,0,3,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Buffalo All-Americans,1920,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,9,1,1,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Canton Bulldogs,1920,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,4,2,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Chicago Tigers,1920,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2,5,1,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Cleveland Tigers,1920,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2,4,2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Columbus Panhandles,1920,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2,6,2,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Dayton Triangles,1920,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,2,2,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Detroit Heralds,1920,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2,3,3,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Hammond Pros,1920,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2,5,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Muncie Flyers,1920,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Rochester Jeffersons,1920,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,3,2,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Rock Island Independents,1920,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,2,2,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chicago Cardinals,1921,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,3,3,2,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Chicago Staleys,1921,APFA,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,9,1,1,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
